left right "linearSpeed approx" "linearSpeed exact" error "rotationSpeed approx" "rotationSpeed exact" error "dx approx" "dx exact" error "dy approx" "dy exact" error "dtheta approx" "dtheta exact" error
120 270 237.0219421387 237.02194574 -3.6012999942158785e-06 -90.8385086060 -90.8385093168 7.107999948630095e-07 4.7396445274 4.7396445862 -5.8799999536063297e-08 0.0751500949 0.0751500947834 1.166000074270812e-10 -0.0317086205 -0.0317086215036 1.0036000017143998e-09
150 0 91.1622848511 91.1622868229 -1.971800003275348e-06 90.8385086060 90.8385093168 -7.107999948630095e-07 1.8229401112 1.82294022546 -1.1425999990599678e-07 -0.0289038811 -0.028903882609 1.5089999978734614e-09 0.0317086205 0.0317086215036 -1.0036000017143998e-09
150 30 109.3947448730 109.394744188 6.849999891755942e-07 72.6708068848 72.6708074534 -5.686000008608971e-07 2.1876602173 2.18766024706 -2.9760000241907392e-08 -0.0277485624 -0.0277485642862 1.8862000017438874e-09 0.0253668968 0.0253668972029 -4.029000015559614e-10
150 60 127.6271972656 127.627201552 -4.286399999386958e-06 54.5031051636 54.5031055901 -4.265000015379883e-07 2.5523898602 2.55239004855 -1.8835000004102653e-07 -0.0242805593 -0.0242805633752 4.07520000036965e-09 0.0190251712 0.0190251729022 -1.7021999990096681e-09
150 90 145.8596496582 145.859658917 -9.258799991584965e-06 36.3354034424 36.3354037267 -2.8430000043044856e-07 2.9171147346 2.91711496422 -2.2961999990300797e-07 -0.0184997842 -0.0184997868621 2.6620999987736482e-09 0.0126834484 0.0126834486014 -2.0139999910850914e-10
150 120 164.0921173096 164.092116281 1.028600024710613e-06 18.1677017212 18.1677018634 -1.4220000110753972e-07 3.2818202972 3.28182032777 -3.057000030892709e-08 -0.0104062343 -0.0104062347377 4.3769999950871163e-10 0.0063417242 0.00634172430072 -1.0072000004857085e-10
150 150 182.3245697021 182.324573646 -3.943899997693734e-06 0.0000000000 -0.0 0.0 3.6464912891 3.64649147292 -1.8382000011030186e-07 0.0000000000 0 0.0 0.0000000000 0 0.0
150 180 200.5570373535 200.55703101 6.343499990180135e-06 -18.1677017212 -18.1677018634 1.4220000110753972e-07 4.0111141205 4.01111373394 3.865600000096947e-07 0.0127187315 0.012718731346 1.540000002520081e-10 -0.0063417242 -0.00634172430072 1.0072000004857085e-10
150 210 218.7894897461 218.789488375 1.3711000121929828e-06 -36.3354034424 -36.3354037267 2.8430000043044856e-07 4.3756723404 4.37567244632 -1.059199998820759e-07 0.0277496781 0.0277496802931 -2.193100000213999e-09 -0.0126834484 -0.0126834486014 2.0139999910850914e-10
150 240 237.0219421387 237.02194574 -3.6012999942158785e-06 -54.5031051636 -54.5031055901 4.265000015379883e-07 4.7401528358 4.7401529473 -1.1150000034376717e-07 0.0450924709 0.0450924748396 -3.939600000391064e-09 -0.0190251712 -0.0190251729022 1.7021999990096681e-09
