left right "linearSpeed approx" "linearSpeed exact" error "rotationSpeed approx" "rotationSpeed exact" error "dx approx" "dx exact" error "dy approx" "dy exact" error "dtheta approx" "dtheta exact" error
90 120 127 127.627201552 -0.6272015520000025 -18 -18.1677018634 0.16770186340000137 2.5399873257 2.5525269216 -0.012539595900000311 -0.0079796314 0.0080937381293 -0.016073369529299997 -0.0062831850 -0.00634172430072 5.853930071999993e-05
90 150 145 145.859658917 -0.8596589169999902 -36 -36.3354037267 0.33540372670000096 2.8999426365 2.91711496422 -0.01717232771999999 -0.0182211157 0.0184997868621 -0.0367209025621 -0.0125663700 -0.0126834486014 0.00011707860139999887
90 180 164 164.092116281 -0.09211628099998848 -54 -54.5031055901 0.5031055900999988 3.2798542976 3.28164434813 -0.0017900505299999203 -0.0309128128 0.0312178671966 -0.062130679996600005 -0.0188495554 -0.0190251729022 0.00017561750219999978
90 210 182 182.324573646 -0.3245736460000046 -72 -72.6708074534 0.6708074534000019 3.6397125721 3.64610041176 -0.006387839659999894 -0.0457403809 0.0462476071437 -0.09198798804370001 -0.0251327399 -0.0253668972029 0.00023415730290000242
90 240 200 200.55703101 -0.5570310100000029 -90 -90.8385093168 0.8385093167999997 3.9995064735 4.01046849602 -0.010962022519999781 -0.0628292635 0.0635885417398 -0.1264178052398 -0.0314159244 -0.0317086215036 0.0002926971035999981
90 270 218 218.789488375 -0.7894883749999906 -109 -109.00621118 0.006211179999993988 4.3592109680 4.37473394485 -0.015522976849999814 -0.0829400271 0.0832401130636 -0.1661801401636 -0.0380481780 -0.0380503458043 2.1678042999989655e-06
120 0 72 72.9298294583 -0.9298294583000057 72 72.6708074534 -0.6708074534000019 1.4398862123 1.45844016471 -0.01855395241000002 0.0180950966 -0.0184990428575 0.036594139457499994 0.0251327399 0.0253668972029 -0.00023415730290000242
120 30 91 91.1622868229 -0.16228682290000052 54 54.5031055901 -0.5031055900999988 1.8199191093 1.82313574896 -0.0032166396599999647 0.0171528403 -0.0173432595537 0.0344960998537 0.0188495554 0.0190251729022 -0.00017561750219999978
120 60 109 109.394744188 -0.3947441880000042 36 36.3354037267 -0.33540372670000096 2.1799571514 2.18783622316 -0.007879071760000134 0.0136972535 -0.0138748401466 0.0275720936466 0.0125663700 0.0126834486014 -0.00011707860139999887
120 90 127 127.627201552 -0.6272015520000025 18 18.1677018634 -0.16770186340000137 2.5399873257 2.5525269216 -0.012539595900000311 0.0079796314 -0.0080937381293 0.016073369529299997 0.0062831850 0.00634172430072 -5.853930071999993e-05
120 120 145 145.859658917 -0.8596589169999902 0 -0.0 0.0 2.8999998569 2.91719317833 -0.01719332142999974 0.0000000000 0 0.0 0.0000000000 0 0.0
120 150 164 164.092116281 -0.09211628099998848 -18 -18.1677018634 0.16770186340000137 3.2799837589 3.28182032777 -0.001836568870000388 -0.0103044063 0.0104062347377 -0.0207106410377 -0.0062831850 -0.00634172430072 5.853930071999993e-05
120 180 182 182.324573646 -0.3245736460000046 -36 -36.3354037267 0.33540372670000096 3.6399281025 3.64639370527 -0.0064656027700000784 -0.0228706412 0.0231247335776 -0.045995374777600004 -0.0125663700 -0.0126834486014 0.00011707860139999887
120 210 200 200.55703101 -0.5570310100000029 -54 -54.5031055901 0.5031055900999988 3.9998223782 4.01089864771 -0.01107626951000018 -0.0376985520 0.0381551710181 -0.0758537230181 -0.0188495554 -0.0190251729022 0.00017561750219999978
120 240 218 218.789488375 -0.7894883749999906 -72 -72.6708074534 0.6708074534000019 4.3596558571 4.37532049412 -0.015664637020000427 -0.0547879338 0.0554971285725 -0.11028506237249999 -0.0251327399 -0.0253668972029 0.00023415730290000242
120 270 237 237.02194574 -0.021945740000006708 -90 -90.8385093168 0.8385093167999997 4.7394151688 4.7396445862 -0.0002294173999999316 -0.0744526759 0.0751500947834 -0.1496027706834 -0.0314159244 -0.0317086215036 0.0002926971035999981
150 0 91 91.1622868229 -0.16228682290000052 90 90.8385093168 -0.8385093167999997 1.8197754622 1.82294022546 -0.0031647632600000364 0.0285873152 -0.028903882609 0.057491197809 0.0314159244 0.0317086215036 -0.0002926971035999981
150 30 109 109.394744188 -0.3947441880000042 72 72.6708074534 -0.6708074534000019 2.1798279285 2.18766024706 -0.007832318560000218 0.0273939669 -0.0277485642862 0.0551425311862 0.0251327399 0.0253668972029 -0.00023415730290000242
150 60 127 127.627201552 -0.6272015520000025 54 54.5031055901 -0.5031055900999988 2.5398871899 2.55239004855 -0.012502858650000004 0.0239385813 -0.0242805633752 0.0482191446752 0.0188495554 0.0190251729022 -0.00017561750219999978
150 90 145 145.859658917 -0.8596589169999902 36 36.3354037267 -0.33540372670000096 2.8999426365 2.91711496422 -0.01717232771999999 0.0182211157 -0.0184997868621 0.0367209025621 0.0125663700 0.0126834486014 -0.00011707860139999887
