left right "linearSpeed approx" "linearSpeed exact" error "rotationSpeed approx" "rotationSpeed exact" error "dx approx" "dx exact" error "dy approx" "dy exact" error "dtheta approx" "dtheta exact" error
60 0 36 36.4649147292 -0.46491472919999666 36 36.3354037267 -0.33540372670000096 0.7199810147 0.729278741054 -0.009297726354000058 -0.0045238333 -0.00462494671552 0.00010111341551999938 0.0125663700 0.0126834486014 -0.00011707860139999887
60 30 54 54.6973720938 -0.6973720937999985 18 18.1677018634 -0.16770186340000137 1.0799927711 1.09394010926 -0.013947338160000156 -0.0033929085 -0.00346874491256 7.583641255999975e-05 0.0062831850 0.00634172430072 -5.853930071999993e-05
60 60 72 72.9298294583 -0.9298294583000057 0 -0.0 0.0 1.4399999380 1.45859658917 -0.018596651169999978 0.0000000000 0 0.0 0.0000000000 0 0.0
60 90 91 91.1622868229 -0.16228682290000052 -18 -18.1677018634 0.16770186340000137 1.8199880123 1.82323351543 -0.003245503129999827 0.0057176794 0.00578124152093 -6.356212093000004e-05 -0.0062831850 -0.00634172430072 5.853930071999993e-05
60 120 109 109.394744188 -0.3947441880000042 -36 -36.3354037267 0.33540372670000096 2.1799426079 2.18783622316 -0.007893615259999986 0.0136971632 0.0138748401466 -0.00017767694660000138 -0.0125663700 -0.0126834486014 0.00011707860139999887
60 150 127 127.627201552 -0.6272015520000025 -54 -54.5031055901 0.5031055900999988 2.5398495197 2.55239004855 -0.012540528849999788 0.0239382256 0.0242805633752 -0.00034233777519999953 -0.0188495554 -0.0190251729022 0.00017561750219999978
60 180 145 145.859658917 -0.8596589169999902 -72 -72.6708074534 0.6708074534000019 2.8996946812 2.91688032941 -0.017185648209999904 0.0364405513 0.036998085715 -0.0005575344149999981 -0.0251327399 -0.0253668972029 0.00023415730290000242
60 210 164 164.092116281 -0.09211628099998848 -90 -90.8385093168 0.8385093167999997 3.2794604301 3.28129240583 -0.001831975730000046 0.0515178777 0.0520269886962 -0.0005091109961999976 -0.0314159244 -0.0317086215036 0.0002926971035999981
60 240 182 182.324573646 -0.3245736460000046 -109 -109.00621118 0.006211179999993988 3.6391217709 3.64561162071 -0.0064898498099998925 0.0692393258 0.0693667608864 -0.00012743508639999346 -0.0380481780 -0.0380503458043 2.1678042999989655e-06
60 270 200 200.55703101 -0.5570310100000029 -127 -127.173913043 0.17391304299999888 3.9986898899 4.00982332037 -0.011133430469999706 0.0886482000 0.0890167979099 -0.00036859790990000085 -0.0443313606 -0.0443920701051 6.070950509999562e-05
